Hash Base,Table Size,Label,Filename,Words,Time,Collisions,Probes,Probe Max,Rehash
1,250727,B = 1 / TS = 250727,english_large.txt,5081,10,4745,9935920,4983,0
1,250727,,english_small.txt,5128,10,4759,10043898,5032,0
1,250727,,french.txt,5283,10,4826,10299339,4907,0
1,402221,B = 1 / TS = 402221,english_large.txt,5276,10,4939,10802396,5152,0
1,402221,,english_small.txt,5290,10,4920,10775711,5083,0
1,402221,,french.txt,5453,10,4965,10874409,5181,0
1,1000081,B = 1 / TS = 1000081,english_large.txt,5274,10,4937,10793498,5152,0
1,1000081,,english_small.txt,5269,10,4899,10680869,5074,0
1,1000081,,french.txt,5447,10,4959,10845191,5181,0
27183,250727,B = 27183 / TS = 250727,english_large.txt,194433,2.022206853,76623,420606,278,0
27183,250727,,english_small.txt,84097,0.6662459719999987,14264,22580,23,0
27183,250727,,french.txt,202358,2.3487656229999914,85022,565917,299,0
27183,402221,B = 27183 / TS = 402221,english_large.txt,194433,1.652879208999991,47798,100107,43,0
27183,402221,,english_small.txt,84097,0.6485327669999918,9000,11736,13,0
27183,402221,,french.txt,202358,1.8325989049999976,53376,124793,57,0
27183,1000081,B = 27183 / TS = 1000081,english_large.txt,194433,1.545299557000007,19039,24442,20,0
27183,1000081,,english_small.txt,84097,0.6277365300000071,3501,3936,15,0
27183,1000081,,french.txt,202358,1.7035648539999926,22045,30701,21,0
250726,250727,B = 250726 / TS = 250727,english_large.txt,4782,10,4688,10883590,4705,0
250726,250727,,english_small.txt,4744,10,4653,10726929,4676,0
250726,250727,,french.txt,5239,10,4890,10719902,4956,0
250726,402221,B = 250726 / TS = 402221,english_large.txt,194433,1.624963892000011,47901,101110,51,0
250726,402221,,english_small.txt,84097,0.6394164740000008,9010,11798,10,0
250726,402221,,french.txt,202358,1.8304500780000126,53160,122422,49,0
250726,1000081,B = 250726 / TS = 1000081,english_large.txt,194433,1.5251647250000246,19047,24487,13,0
250726,1000081,,english_small.txt,84097,0.6314661480000154,3606,4047,8,0
250726,1000081,,french.txt,202358,1.7177205399999877,21709,29956,22,0